

========================================
Importieren gestartet am: 2026-02-14 18:21:31
========================================

--- Importiere Therapeuten ---
OK: Therapeut 'André' importiert
OK: Therapeut 'Torben' importiert
OK: Therapeut 'Orazio' importiert
OK: Therapeut 'Vicky' importiert
OK: Therapeut 'Jenny' importiert
OK: Therapeut 'Nadine' importiert
OK: Therapeut 'Lukas' importiert
OK: Therapeut 'Jona' importiert
OK: Therapeut 'Johanna' importiert
OK: Therapeut 'Roman' importiert

--- Importiere Patienten ---
OK: Patient 'Hombitzer, Martin' importiert
OK: Patient 'Bergs, Robin' importiert
OK: Patient 'Dross, Kerstin' importiert
OK: Patient 'Albrecht, Peter' importiert
OK: Patient 'Karsten, Elise' importiert
OK: Patient 'Bergner, C. + F.' importiert
OK: Patient 'Aslamazidou, Viktoria ' importiert
OK: Patient 'Caspari, Hella' importiert
OK: Patient 'Hauptkorn, Ruth' importiert
OK: Patient 'Lott, Diana' importiert
OK: Patient 'Runkel, Fenja' importiert
OK: Patient 'Hebisch, Ralf' importiert
OK: Patient 'Fabry, Heidemarie' importiert
OK: Patient 'davor alle 10min. später' importiert
OK: Patient 'Wollenberg Marina' importiert
OK: Patient 'Lücking, Hans-Jürgen HB' importiert
OK: Patient 'Röske, Gerhard' importiert
OK: Patient 'Loos, Valeri' importiert
OK: Patient 'Schwertner, Achim' importiert
OK: Patient 'Thierfelder, Yvonne ' importiert
OK: Patient 'Tscherkin, Alexander' importiert
OK: Patient 'Gerlach, Jansen,  Carola' importiert
OK: Patient 'Eisenbach, Heinz ' importiert
OK: Patient 'Kuhnt, Ingeborg HB' importiert
OK: Patient 'Eilermann, Brigitte' importiert
OK: Patient 'Töws, Helene' importiert
OK: Patient 'Koch, Martina' importiert
OK: Patient 'Marx, Karin' importiert
OK: Patient 'Vetter, Heike HB' importiert
OK: Patient 'Bauer, Isolde' importiert
OK: Patient 'Althans, Michael' importiert
OK: Patient 'Neuwert, Alexander' importiert
OK: Patient 'Wolter, Monika' importiert
OK: Patient 'Erfurth, Maxi ' importiert
OK: Patient 'Jung, Brigitte' importiert
OK: Patient 'Grimm, Brigitte' importiert
OK: Patient 'Frey, Armin' importiert
OK: Patient 'Mollenhauer, Christel HB' importiert
OK: Patient 'Rohr, Rosemarie HB' importiert
OK: Patient 'Grimm, Erhard' importiert
OK: Patient 'Klabunde, Stefan ' importiert
OK: Patient 'Kolodziej, Michael' importiert
OK: Patient ' Sterzenbach-Meyer, Petra HB' importiert
OK: Patient 'Özgül Urlaub ' importiert
OK: Patient 'anderer BWO Patient ' importiert
OK: Patient 'Fleischer, Helena' importiert
OK: Patient 'Barth, Chiara' importiert
OK: Patient 'Hurtig, Paul nicht da' importiert
OK: Patient 'Vasbender, Kornelia ' importiert
OK: Patient 'Marrenbach , Carmen ' importiert
OK: Patient 'Mehlhorn, Thomas' importiert
OK: Patient 'Thiele, Wolfgang' importiert
OK: Patient 'Std.-abbau' importiert
OK: Patient 'Klein, Walter' importiert
OK: Patient 'Zelinski, Stella' importiert
OK: Patient 'Köster, Peter' importiert
OK: Patient 'Schmidt, Christa' importiert
OK: Patient 'Gueneu, Jerome' importiert
OK: Patient 'Oehler, Inge' importiert
OK: Patient 'Warkentin, Irina' importiert
OK: Patient 'Wolfram, Cassandra' importiert
OK: Patient 'Stredicke, Michael' importiert
OK: Patient 'Lewandowski, Helmut' importiert
OK: Patient 'Stöcker, Heinz-Jürgen' importiert
OK: Patient ' Sonka, Christina' importiert
OK: Patient 'nix davor alle 10 min. später' importiert
OK: Patient 'Hombach, Marion' importiert
OK: Patient 'Lindner, Fredy' importiert
OK: Patient 'Kriesten, Herbert' importiert
OK: Patient 'Suckau, Nellie' importiert
OK: Patient 'Sava, Christiane' importiert
OK: Patient 'Ufer, Jennifer Bwo' importiert
OK: Patient 'Huth, Andrea BWO' importiert
OK: Patient 'Wendt, Wiebke BWo' importiert
OK: Patient 'Burow, Marika Bwo' importiert
OK: Patient 'Hilsbecher, Silke Bwo' importiert
OK: Patient 'Molleker, Anna BWO' importiert
OK: Patient 'Berg, Hans BWO' importiert
OK: Patient 'Bienert, Sandra BWo' importiert
OK: Patient 'Döhl, Margret HB' importiert
OK: Patient 'Gans, Kerstin' importiert
OK: Patient 'Schmidt, Dieter HB' importiert
OK: Patient 'Koch, Christiane' importiert
OK: Patient 'Zahnarzt' importiert
OK: Patient 'nixx' importiert
OK: Patient 'Krause, Sina' importiert
OK: Patient 'Engelberth, Johanna' importiert
OK: Patient 'Schulz, Gertrud' importiert
OK: Patient 'Schneider, Marion' importiert
OK: Patient 'Stötzel-Didlaukis, Inga' importiert
OK: Patient 'Stütz, Jacqueline' importiert
OK: Patient 'Vogel, Maren' importiert
OK: Patient 'Hirsch, Sandra' importiert
OK: Patient 'Heikaus, Heidemarie' importiert
OK: Patient 'Schneider, Bianca' importiert
OK: Patient 'Euler, Petra' importiert
OK: Patient 'Naß, Jens' importiert
OK: Patient 'Wolfslast, Jessica' importiert
OK: Patient 'Seinsche, Marcel' importiert
OK: Patient 'Klotz, Helmut' importiert
OK: Patient 'Zöller, Sabrina' importiert
OK: Patient 'Stiletto, Jana' importiert
OK: Patient 'Frey, Michaela' importiert
OK: Patient 'Wiedenhöft, Renate ' importiert
OK: Patient 'Thiel, Martina' importiert
OK: Patient 'Kückelhaus, Aurora' importiert
OK: Patient 'Dörrenberg, Anne HB' importiert
OK: Patient 'Pack, Christa ' importiert
OK: Patient 'Tollet, Bernd ' importiert
OK: Patient 'Keine + Std. in der KW' importiert
OK: Patient 'Beger, Jörg' importiert
OK: Patient 'Keulen, Daniela' importiert
OK: Patient 'Gläser, Marcus' importiert
OK: Patient 'Baltes, Klaus HB' importiert
OK: Patient 'Blumberg, Tanja' importiert
OK: Patient 'Simon, Marion' importiert
OK: Patient 'Hartwig, Ninja' importiert
OK: Patient 'Gens, Lee Ann' importiert
OK: Patient 'Hachmeyer, Markus' importiert
OK: Patient 'LIV' importiert
OK: Patient 'Hoffmann, Ole' importiert
OK: Patient 'Menges, Andrea' importiert
OK: Patient 'Pötzsch, Kim-Sophie' importiert
OK: Patient 'Kseminski, Anatoli ' importiert
OK: Patient 'Zielenbach, Doris' importiert
OK: Patient 'Götze, Thomas HB' importiert
OK: Patient 'Löttgen, Doris HB' importiert
OK: Patient 'Stahlhut, Andreas' importiert
OK: Patient 'Lauterbach, Gerd' importiert
OK: Patient 'Lenzner, Ursula HB' importiert
OK: Patient 'Mertens, Doris HB' importiert
OK: Patient 'Koop, Maria' importiert
OK: Patient 'Heck, Gabriele ' importiert
OK: Patient 'Heyden , Monika' importiert
OK: Patient 'Görres, Achim' importiert
OK: Patient 'Kochhold, Karin ' importiert
OK: Patient 'Kießling, Edeltraud' importiert
OK: Patient 'Boller, Andrea' importiert
OK: Patient 'Dresbach, Horst' importiert
OK: Patient 'Schumacher, Marion' importiert
OK: Patient 'Klein, Markus' importiert
OK: Patient 'Büro' importiert
OK: Patient 'BPW Geldmacher, Angela' importiert
OK: Patient 'Reiffers, Sigrid' importiert
OK: Patient 'Kraus, Sabine' importiert
OK: Patient 'Baljan, Katharina' importiert
OK: Patient 'Fueloep, Tanja MTT' importiert
